Country,Category,Next,IKEA,Very,Dunnes,Home Store + More
Ireland,Bed Sets,https://www.next.ie/en/shop/home/bedding/bed-linen-sets/f/category-bedsets,https://www.ikea.com/ie/en/cat/duvet-covers-bedding-sets-10680/,https://www.very.ie/browse/home-bedding-throws-and-bedspreads/shop-by-room--bedroom,https://www.dunnesstores.com/home/bedroom/duvet-covers,https://www.homestoreandmore.ie/duvet-covers
,Towels,https://www.next.ie/en/shop/home/bathroom/bathroom-textiles/f/category-towels,https://www.ikea.com/ie/en/cat/towels-20520/,https://www.very.ie/browse/home-and-garden/shop-by-room--bathroom/towel-type--bath-sheets+bath-towel+hand-towel+towel-set,https://www.dunnesstores.com/home/bathroom/towels,https://www.homestoreandmore.ie/towels?prefn1=creationDate&prefv1=-5000&srule=Price%20-%20High%20to%20Low&start=0&sz=24
,Bed Sheets,https://www.next.ie/en/shop/home/bedroom/f/category-bedsheets,https://www.ikea.com/ie/en/cat/bed-sheets-10681/,https://www.very.ie/browse/home-bedding-bed-sheets/shop-by-room--bedroom,https://www.dunnesstores.com/home/bedroom/bed-sheets,https://www.homestoreandmore.ie/bed-sheets
,Ceiling Lights,https://www.next.ie/en/shop/home/lighting/ceiling-lights,https://www.ikea.com/ie/en/cat/ceiling-lights-18750/,https://www.very.ie/browse/home-lighting-ceiling-lights,,https://www.homestoreandmore.ie/lamp-shades-light-shades?prefn1=inStockFilter&prefv1=true&sz=48&total=48
,Curtains,https://www.next.ie/en/shop/home/home-furnishings/curtains-and-blinds/f/category-curtains,https://www.ikea.com/ie/en/cat/curtains-10700/,https://www.very.ie/browse/home-curtains,https://www.dunnesstores.com/home/living-room/curtains,https://www.homestoreandmore.ie/curtains-curtains?prefn1=creationDate&prefv1=-5000&srule=Price%20-%20High%20to%20Low&start=0&sz=24
,Cushions,https://www.next.ie/en/shop/home/cushions-and-throws/f/category-cushions,https://www.ikea.com/ie/en/,https://www.very.ie/browse/home-cushions,https://www.dunnesstores.com/home/living-room/cushions,https://www.homestoreandmore.ie/cushions
,Bath Mats,https://www.next.ie/en/shop/home/bathroom/bathroom-textiles/f/category-bathmats,https://www.ikea.com/ie/en/cat/bath-mats-20519/,https://www.very.ie/browse/home-bath-mats,https://www.dunnesstores.com/home/bathroom/bath-mats,https://www.homestoreandmore.ie/bathroom-mats?prefn1=creationDate&prefv1=-5000&srule=Price%20-%20High%20to%20Low&start=0&sz=24
,Table Lamps,https://www.next.ie/en/shop/home/lighting/desk-table-lamps,https://www.ikea.com/ie/en/cat/table-lamps-10732/,https://www.very.ie/browse/home-lighting-table-lamps,https://www.dunnesstores.com/home/living-room/lighting/lamps,https://www.homestoreandmore.ie/lamps-lighting?prefn1=inStockFilter&prefv1=true&prefn2=productType&prefv2=Table%20Lamps
,,,,,,
,,,Otto,IKEA,Beliani,
